Feature,Importance
recent_monetary_ratio_90d,0.5122139582821701
recent_activity_ratio_90d,0.2943058294665213
Segment_Encoded,0.05796725915687725
lifetime_value_per_day,0.038417739027447065
Monetary,0.029698339433157514
monetary_velocity,0.02286032328005829
max_days_between_purchases,0.005485649170667169
purchase_interval_trend,0.004848292961334115
frequency_trend,0.004784878735028639
amount_trend_ratio,0.004463864744311489
purchase_efficiency,0.0034393147551381484
frequency_acceleration,0.003162387899343593
unique_products,0.0028136515028597694
avg_order_value,0.002803873787762753
purchase_amount_trend,0.001483049186235935
FM_Score,0.0014773359485577195
RFM_Score_Sum,0.001405482018216008
avg_products_per_order,0.001294327332862456
min_days_between_purchases,0.0011532295184719093
total_transactions,0.0011336848911683978
avg_days_between_purchases,0.0010653505835632527
month_diversity,0.0010616791819743011
F_Score,0.0010046787439104386
unique_purchase_days,0.0005610406811332853
purchase_regularity,0.0003589114806513202
weekend_purchase_ratio,0.0003262131525327541
risk_score,0.00019633145545197274
Frequency,0.00015833821191398227
std_days_between_purchases,5.4985410673261026e-05
recent_activity_ratio_30d,5.484530925844032e-15
recent_activity_ratio_60d,1.6327131113137265e-16
recent_monetary_ratio_60d,1.6197931039782733e-16
activity_risk,1.0040896480827648e-16
M_Score,0.0
recent_monetary_ratio_30d,0.0
interval_risk,0.0
monetary_risk,0.0
is_high_value,0.0
