Feature,Importance
recent_monetary_ratio_90d,0.50990105
recent_activity_ratio_90d,0.44051555
segment_risk_level,0.01843525
Monetary,0.0031098586
customer_value_score,0.0024062374
monetary_trend,0.0022591848
unique_purchase_days,0.0022553916
lifetime_value_per_day,0.002079895
FM_Score,0.001947431
purchase_interval_trend,0.001944746
risk_score,0.001891994
frequency_trend,0.0018827388
avg_days_between_purchases,0.001753648
avg_order_value,0.0016726222
F_Score,0.0015282664
std_days_between_purchases,0.00149819
purchase_regularity,0.0014134499
total_transactions,0.001301612
Frequency,0.0011481601
unique_products,0.0010547279
F_Score_squared,0.0
M_Score,0.0
M_Score_squared,0.0
recent_activity_ratio_60d,0.0
recent_monetary_ratio_60d,0.0
recent_monetary_ratio_30d,0.0
recent_activity_ratio_30d,0.0
interval_risk,0.0
frequency_risk,0.0
monetary_risk,0.0
activity_risk,0.0
is_high_value,0.0
