CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,is_churned,is_high_value,avg_order_value,customer_lifetime_days,avg_purchase_interval
12346.0,326,1,77183.6,1,1,5,115,Lost,1,1,77183.6,0,
12747.0,2,11,4196.01,5,5,5,555,Champions,0,1,381.4554545454546,366,36.6
12748.0,1,209,33719.73,5,5,5,555,Champions,0,1,161.3384210526316,372,1.7884615384615385
12749.0,4,5,4090.88,5,4,5,545,Champions,0,1,818.176,209,52.25
12820.0,3,4,942.34,5,4,4,544,Champions,0,0,235.585,323,107.66666666666667
12821.0,214,1,92.72,1,1,1,111,Hibernating,1,0,92.72,0,
12822.0,71,2,948.88,3,2,4,324,Potential Loyalists,0,0,474.44,16,16.0
12823.0,75,5,1759.5,2,4,4,244,About to Sleep,0,0,351.9,221,55.25
12824.0,60,1,397.12,3,1,2,312,Others,0,0,397.12,0,
12826.0,3,7,1474.72,5,5,4,554,Champions,0,0,210.67428571428573,362,60.333333333333336
12827.0,6,3,430.15000000000003,5,3,2,532,Potential Loyalists,0,0,143.38333333333335,38,19.0
12828.0,3,6,1018.71,5,4,4,544,Champions,0,0,169.785,127,25.4
12829.0,337,2,293.0,1,2,2,122,Hibernating,1,0,146.5,23,23.0
12830.0,38,6,6814.64,3,4,5,345,Loyal Customers,0,1,1135.7733333333333,134,26.8
12831.0,262,1,215.05,1,1,1,111,Hibernating,1,0,215.05,0,
12832.0,32,2,383.03,4,2,2,422,Potential Loyalists,0,0,191.515,65,65.0
12833.0,145,1,417.38,2,1,2,212,Hibernating,1,0,417.38,0,
12834.0,283,1,312.38,1,1,2,112,Hibernating,1,0,312.38,0,
12836.0,59,4,2612.86,3,4,5,345,Loyal Customers,0,1,653.215,252,84.0
12837.0,173,1,134.1,2,1,1,211,Hibernating,1,0,134.1,0,
12838.0,34,2,683.13,3,2,3,323,Potential Loyalists,0,0,341.565,340,340.0
12839.0,3,14,5591.42,5,5,5,555,Champions,0,1,399.38714285714286,364,28.0
12840.0,144,4,2726.77,2,4,5,245,About to Sleep,1,1,681.6925,82,27.333333333333332
12841.0,5,25,4022.35,5,5,5,555,Champions,0,1,160.894,367,15.291666666666666
12842.0,70,2,1118.99,3,2,4,324,Potential Loyalists,0,0,559.495,238,238.0
12843.0,66,8,1702.26,3,5,4,354,Loyal Customers,0,0,212.7825,198,28.285714285714285
12844.0,29,2,325.96000000000004,4,2,2,422,Potential Loyalists,0,0,162.98000000000002,101,101.0
12845.0,267,4,354.09,1,4,2,142,Lost,1,0,88.5225,22,7.333333333333333
12847.0,22,1,871.54,4,1,3,413,New Customers,0,0,871.54,0,
12849.0,31,2,1050.8899999999999,4,2,4,424,Potential Loyalists,0,0,525.4449999999999,237,237.0
12851.0,97,1,135.18,2,1,1,211,Hibernating,0,0,135.18,0,
12852.0,295,1,311.55,1,1,2,112,Hibernating,1,0,311.55,0,
12853.0,135,6,1957.1000000000001,2,4,4,244,About to Sleep,1,0,326.18333333333334,181,36.2
12854.0,79,3,1324.5,2,3,4,234,About to Sleep,0,0,441.5,239,119.5
12855.0,373,1,38.1,1,1,1,111,Hibernating,1,0,38.1,0,
12856.0,8,6,2179.93,5,4,5,545,Champions,0,1,363.32166666666666,55,11.0
12857.0,211,2,1106.4,1,2,4,124,Lost,1,0,553.2,91,91.0
12863.0,52,1,521.2,3,1,3,313,Promising,0,0,521.2,0,
12864.0,138,1,147.12,2,1,1,211,Hibernating,1,0,147.12,0,
12867.0,26,7,4036.82,4,5,5,455,Champions,0,1,576.6885714285714,333,55.5
12868.0,186,6,1607.0600000000002,1,4,4,144,At Risk,1,0,267.84333333333336,187,37.4
12871.0,84,2,380.64,2,2,2,222,About to Sleep,0,0,190.32,123,123.0
12872.0,327,2,599.97,1,2,3,123,Lost,1,0,299.985,38,38.0
12873.0,282,1,374.0,1,1,2,112,Hibernating,1,0,374.0,0,
12875.0,143,2,343.2300000000001,2,2,2,222,About to Sleep,1,0,171.61500000000004,219,219.0
12877.0,4,12,1535.77,5,5,4,554,Champions,0,0,127.98083333333334,354,32.18181818181818
12878.0,236,2,854.99,1,2,3,123,Lost,1,0,427.495,29,29.0
12879.0,45,3,573.22,3,3,3,333,Loyal Customers,0,0,191.07333333333335,47,23.5
12881.0,276,1,298.0,1,1,2,112,Hibernating,1,0,298.0,0,
12882.0,9,2,1463.04,5,2,4,524,Potential Loyalists,0,0,731.52,24,24.0
12883.0,25,4,703.47,4,4,3,443,Loyal Customers,0,0,175.8675,64,21.333333333333332
12884.0,88,1,309.05,2,1,2,212,Hibernating,0,0,309.05,0,
12885.0,63,3,1175.22,3,3,4,334,Loyal Customers,0,0,391.74,60,30.0
12886.0,68,2,1378.4,3,2,4,324,Potential Loyalists,0,0,689.2,151,151.0
12888.0,214,2,354.12,1,2,2,122,Hibernating,1,0,177.06,41,41.0
12890.0,24,1,380.46999999999997,4,1,2,412,New Customers,0,0,380.46999999999997,0,
12891.0,186,3,331.0,1,3,2,132,Lost,1,0,110.33333333333333,107,53.5
12893.0,31,1,188.14,4,1,1,411,New Customers,0,0,188.14,0,
